tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year
2024-800,Brisbane,Hard,64,P,2024-01-01,259,211768,,WC,Naomi Osaka,R,180.0,JPN,26.2,211337,,,Tamara Korpatsch,R,170.0,GER,28.6,6-3 7-6(9),3,R64,108.0,5.0,1.0,62.0,41.0,30.0,10.0,10.0,0.0,2.0,1.0,5.0,85.0,50.0,34.0,10.0,11.0,4.0,8.0,,,83.0,847.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,260,202429,,,Camila Giorgi,R,168.0,ITA,32.0,220548,,,Peyton Stearns,R,,USA,22.2,5-7 6-2 6-3,3,R64,159.0,4.0,7.0,105.0,60.0,40.0,22.0,15.0,9.0,13.0,7.0,10.0,100.0,44.0,33.0,20.0,14.0,6.0,12.0,55.0,1089.0,49.0,1168.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,264,213710,,,Cristina Bucsa,R,,ESP,25.9,213889,,,Greet Minnen,R,,BEL,26.3,5-7 6-3 6-1,3,R64,130.0,3.0,2.0,73.0,47.0,36.0,13.0,14.0,2.0,5.0,3.0,3.0,109.0,66.0,39.0,19.0,14.0,15.0,21.0,61.0,1023.0,64.0,999.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,296,215613,4.0,,Emma Navarro,R,,USA,22.6,201549,7.0,,Petra Martic,R,181.0,CRO,32.9,6-4 6-3,3,QF,88.0,2.0,1.0,60.0,48.0,33.0,3.0,10.0,3.0,6.0,7.0,4.0,62.0,32.0,19.0,11.0,9.0,6.0,11.0,31.0,1480.0,41.0,1264.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,268,214459,,,Lucia Bronzetti,R,,ITA,25.0,221909,,,Ashlyn Krueger,R,185.0,USA,19.6,6-4 7-5,3,R64,118.0,1.0,3.0,75.0,41.0,26.0,18.0,11.0,1.0,4.0,4.0,10.0,86.0,53.0,34.0,10.0,11.0,10.0,15.0,52.0,1137.0,78.0,896.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,270,214981,2.0,,Elena Rybakina,R,184.0,KAZ,24.5,216265,,Q,Olivia Gadecki,R,,AUS,21.6,6-4 6-1,3,R32,72.0,4.0,1.0,53.0,35.0,28.0,10.0,9.0,3.0,3.0,0.0,2.0,54.0,34.0,23.0,7.0,8.0,2.0,5.0,4.0,6366.0,124.0,607.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,271,210722,13.0,,Elise Mertens,R,179.0,BEL,28.1,201585,,,Sloane Stephens,R,170.0,USA,30.7,2-6 6-1 6-3,3,R32,101.0,5.0,4.0,63.0,33.0,23.0,17.0,12.0,2.0,5.0,1.0,2.0,66.0,47.0,29.0,8.0,12.0,3.0,8.0,30.0,1506.0,44.0,1200.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,272,215713,11.0,,Anastasia Potapova,R,175.0,RUS,22.7,201611,,WC,Daria Saville,R,166.0,AUS,29.8,6-4 3-6 6-4,3,R32,172.0,3.0,4.0,99.0,52.0,32.0,21.0,15.0,5.0,11.0,1.0,11.0,122.0,84.0,47.0,17.0,14.0,11.0,17.0,28.0,1611.0,209.0,366.0,2024
2024-800,Brisbane,Hard,64,P,2024-01-01,252,220699,,Q,Julia Riera,R,,ARG,21.5,202600,,,Viktoriya Tomova,R,170.0,BUL,28.8,6-2 6-4,3,R64,78.0,3.0,1.0,53.0,33.0,27.0,11.0,9.0,1.0,1.0,0.0,2.0,54.0,31.0,17.0,13.0,9.0,1.0,4.0,137.0,563.0,75.0,906.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,295,216016,,,Xiyu Wang,L,,CHN,22.7,220348,,,Diane Parry,R,170.0,FRA,21.3,6-7(3) 6-3 6-4,3,QF,184.0,4.0,4.0,126.0,91.0,59.0,13.0,16.0,14.0,18.0,4.0,3.0,100.0,60.0,41.0,15.0,15.0,4.0,10.0,71.0,937.0,76.0,904.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,288,220348,,,Diane Parry,R,170.0,FRA,21.3,201615,3.0,,Lesia Tsurenko,R,174.0,UKR,34.5,2-6 6-4 6-1,3,R16,110.0,2.0,1.0,75.0,42.0,29.0,18.0,13.0,3.0,6.0,0.0,3.0,64.0,41.0,25.0,15.0,12.0,5.0,9.0,76.0,904.0,32.0,1451.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,293,221103,1.0,,Coco Gauff,R,175.0,USA,19.8,259104,,Q,Brenda Fruhvirtova,R,,CZE,16.7,6-3 6-0,3,R16,70.0,5.0,4.0,49.0,27.0,23.0,9.0,8.0,5.0,6.0,2.0,3.0,48.0,26.0,13.0,6.0,7.0,1.0,6.0,3.0,6690.0,117.0,657.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,270,202494,2.0,,Elina Svitolina,R,174.0,UKR,29.3,201496,,WC,Caroline Wozniacki,R,177.0,DEN,33.4,6-4 6-3,3,R32,104.0,5.0,1.0,75.0,44.0,25.0,17.0,10.0,6.0,9.0,1.0,3.0,66.0,36.0,20.0,13.0,9.0,5.0,10.0,25.0,1809.0,256.0,301.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,271,221054,,WC,Emma Raducanu,R,175.0,GBR,21.1,211817,,Q,Elena Gabriela Ruse,R,,ROU,26.1,6-3 4-6 7-5,3,R32,147.0,3.0,6.0,93.0,61.0,39.0,15.0,16.0,1.0,6.0,2.0,2.0,95.0,63.0,37.0,15.0,15.0,7.0,13.0,301.0,231.0,134.0,575.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,272,216153,,WC,Amanda Anisimova,R,180.0,USA,22.3,201499,,,Anastasia Pavlyuchenkova,R,177.0,RUS,32.4,7-5 6-4,3,R32,115.0,6.0,4.0,94.0,58.0,35.0,13.0,11.0,8.0,13.0,1.0,2.0,74.0,41.0,22.0,11.0,11.0,7.0,14.0,373.0,169.0,60.0,1045.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,273,213631,5.0,,Marie Bouzkova,R,180.0,CZE,25.4,211684,,,Magdalena Frech,R,171.0,POL,26.0,6-0 3-6 6-4,3,R32,134.0,1.0,3.0,66.0,43.0,30.0,11.0,12.0,1.0,4.0,0.0,2.0,100.0,58.0,33.0,18.0,13.0,10.0,16.0,36.0,1353.0,70.0,937.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,274,201615,3.0,,Lesia Tsurenko,R,174.0,UKR,34.5,203500,,Q,Sachia Vickery,R,162.0,USA,28.6,7-5 6-4,3,R32,88.0,0.0,4.0,71.0,49.0,33.0,12.0,11.0,7.0,9.0,1.0,3.0,66.0,38.0,26.0,10.0,11.0,5.0,9.0,32.0,1451.0,143.0,537.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,275,220348,,,Diane Parry,R,170.0,FRA,21.3,211765,,,Emina Bektas,R,,USA,30.7,6-7(4) 7-5 6-3,3,R32,165.0,13.0,7.0,111.0,54.0,45.0,30.0,17.0,3.0,4.0,10.0,2.0,109.0,73.0,48.0,21.0,16.0,3.0,6.0,76.0,904.0,91.0,820.0,2024
2024-1049,Auckland,Hard,32,I,2024-01-01,276,216016,,,Xiyu Wang,L,,CHN,22.7,211713,,,Jaqueline Cristian,R,180.0,ROU,25.5,6-1 5-7 7-6(3),3,R32,167.0,5.0,4.0,100.0,73.0,51.0,15.0,15.0,6.0,8.0,2.0,10.0,103.0,50.0,40.0,21.0,16.0,6.0,10.0,71.0,937.0,87.0,831.0,2024
