player_id,overall_elo,grass_elo
216347,2139.55,1615.17
202458,2006.29,1770.58
214981,1949.1,1695.09
214544,1942.22,1656.51
221103,1911.38,1638.31
203389,1876.87,1481.99
202468,1866.64,1627.1
201619,1856.36,1677.63
214096,1855.95,1559.69
214082,1833.03,1689.31
211148,1823.66,1482.1
201594,1810.97,1710.0
201458,1800.35,1595.7
201520,1793.22,1733.59
202505,1787.76,1616.82
221012,1782.02,1460.09
201709,1777.71,1579.02
214939,1764.7,1513.73
214954,1763.05,1594.13
202460,1761.06,1716.76
211533,1745.21,1667.47
215613,1742.76,1550.16
216146,1741.21,1491.03
206289,1740.32,1513.15
214643,1740.32,1600.44
211651,1739.87,1553.6
259799,1736.79,1523.79
220367,1734.46,1590.93
211768,1734.18,1517.94
202494,1725.12,1571.02
211107,1712.64,1667.88
221054,1710.66,1571.2
215713,1705.96,1565.29
200033,1705.57,1619.88
222328,1698.69,1494.01
223670,1696.53,1608.71
211701,1687.54,1596.11
202499,1684.55,1629.21
211843,1682.44,1528.42
215370,1680.25,1559.84
206108,1680.22,1501.78
201614,1677.5,1642.14
206252,1673.03,1570.52
201585,1672.63,1463.88
210722,1672.37,1501.26
201593,1671.13,1513.26
201496,1668.01,1593.0
206420,1667.54,1681.43
206242,1664.73,1602.43
201499,1664.37,1446.06
201662,1662.55,1607.95
220714,1658.63,1545.74
202429,1649.95,1558.99
201548,1649.11,1654.14
213631,1647.92,1524.24
216153,1647.9,1587.65
202427,1644.76,1661.79
201514,1643.65,1474.2
204426,1634.48,1514.55
211713,1633.78,1471.58
201493,1631.46,1659.7
204427,1629.95,1472.67
220704,1628.73,1428.09
206368,1628.06,1612.63
220548,1626.25,1482.34
215785,1623.26,1403.48
216133,1620.35,1431.93
202663,1620.26,1511.78
201504,1617.69,1629.85
210886,1613.66,1480.89
201696,1612.87,1478.99
206294,1612.77,1457.1
201603,1607.74,1453.73
201615,1606.89,1569.73
201545,1602.23,1573.46
215035,1596.39,1496.82
202428,1596.06,1560.75
202469,1589.69,1480.45
220348,1587.65,1542.68
216016,1586.6,1444.77
215016,1585.71,1500.0
215219,1585.09,1507.31
202536,1584.48,1484.13
201345,1584.42,1468.93
220589,1574.32,1490.84
210138,1574.27,1500.0
201320,1571.64,1413.31
201495,1571.25,1543.28
221237,1570.85,1500.0
223397,1570.77,1500.0
220699,1570.51,1500.0
215337,1570.1,1500.0
252495,1569.76,1500.0
203501,1569.26,1481.09
205925,1569.16,1515.92
213550,1566.96,1565.34
211279,1566.65,1557.86
216262,1565.29,1431.32
201492,1565.29,1438.13
215988,1565.21,1498.96
215020,1564.88,1534.4
219875,1563.37,1494.03
211817,1561.25,1456.89
201521,1560.01,1507.49
214459,1559.8,1509.98
221497,1559.5,1500.0
201450,1558.83,1481.41
201611,1558.03,1415.57
212272,1557.85,1500.0
213646,1557.66,1548.7
214741,1555.65,1500.0
202453,1555.44,1434.35
220757,1554.44,1500.0
203463,1553.7,1410.03
202490,1552.08,1410.28
211684,1551.16,1532.59
214149,1550.57,1477.8
214452,1550.27,1481.73
202492,1550.25,1476.05
221333,1547.34,1500.0
202600,1546.99,1500.97
215858,1546.66,1500.0
216119,1546.51,1500.0
201549,1546.51,1568.07
214713,1546.49,1500.0
210951,1542.76,1500.0
220465,1542.35,1399.71
211920,1541.48,1500.0
215131,1540.54,1500.0
201466,1539.57,1443.81
210920,1538.61,1500.0
214906,1538.29,1447.62
211796,1537.84,1500.0
215306,1535.92,1484.43
214263,1535.74,1500.0
215872,1534.87,1486.6
222233,1533.66,1500.0
220332,1532.39,1500.0
215898,1532.2,1510.68
239387,1531.93,1500.0
206344,1531.28,1500.0
211685,1531.2,1500.0
204356,1531.17,1500.0
260761,1531.14,1500.0
223333,1530.66,1500.0
216055,1529.94,1500.0
221187,1529.91,1500.0
215186,1529.87,1500.0
202446,1529.64,1484.89
213948,1529.63,1500.0
206329,1529.1,1500.0
223005,1528.7,1500.0
215260,1528.49,1500.0
220392,1528.21,1500.0
221105,1527.97,1500.0
211967,1527.51,1500.0
216083,1526.54,1486.42
201474,1525.79,1552.68
201455,1525.47,1502.41
220432,1525.35,1500.0
214839,1525.07,1540.26
202421,1523.47,1497.42
202440,1523.17,1500.0
201329,1523.05,1458.58
202684,1522.99,1481.95
213583,1522.77,1537.21
239383,1522.47,1500.0
211095,1522.44,1383.61
201586,1522.39,1488.98
206430,1521.04,1500.0
203530,1521.04,1496.56
215936,1520.84,1476.79
202498,1520.79,1500.0
215045,1520.74,1500.0
204294,1520.67,1500.0
214782,1519.85,1480.77
221014,1518.72,1500.0
216385,1518.1,1500.0
211814,1517.77,1462.67
211643,1516.65,1500.0
210871,1516.6,1500.0
210957,1516.04,1500.0
210166,1516.0,1500.0
222776,1516.0,1500.0
206343,1516.0,1500.0
263853,1516.0,1500.0
221978,1516.0,1500.0
213841,1515.97,1500.0
215165,1515.97,1500.0
260277,1515.94,1500.0
221834,1515.66,1500.0
201590,1515.51,1543.42
220244,1515.3,1500.0
215857,1515.3,1500.0
210740,1515.27,1500.0
211002,1515.27,1500.0
221854,1515.26,1500.0
215787,1515.26,1500.0
221807,1515.26,1500.0
202434,1515.23,1505.97
254733,1515.22,1500.0
221852,1515.17,1500.0
201425,1514.88,1536.59
215909,1514.72,1500.0
201652,1514.63,1500.0
206091,1514.62,1500.0
238075,1514.42,1500.0
220732,1514.35,1500.0
220446,1513.99,1500.0
203533,1513.6,1446.82
221803,1512.49,1500.0
201659,1511.77,1500.0
221124,1511.72,1500.0
202506,1511.21,1483.72
206146,1511.01,1500.0
215983,1510.66,1483.58
220750,1509.95,1503.9
203456,1509.6,1500.0
214020,1508.96,1500.0
204291,1508.93,1500.0
201506,1508.6,1471.28
215832,1508.54,1500.0
206105,1508.46,1500.0
201518,1508.43,1493.45
216139,1508.43,1500.0
203578,1507.94,1500.0
214728,1507.93,1500.0
